Species;Author;GD_14_1H;K_8_1H;K_12H;K_14_1H;K_20_1H;K_23H;K_25H;K_27H;K_30BH;K_33H;K_44H;K_47H;K_65H;LG_1H
Acaeniotyle parva;Yang;2;0;2;0;3;1;0;0;0;0;3;1;0;2
Acaeniotyle umbilicata;(Rüst);0;0;0;6;0;0;0;0;0;0;0;0;0;0
Acanthocircus breviaculeatus;Donofrio & Mostler;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Acanthocircus euganeus;(Squinabol);0;0;0;0;0;0;1;0;0;0;2;2;0;0
Acanthocircus italicus;(Squinabol);1;0;0;0;0;0;0;0;0;0;0;0;0;0
Acanthocircus latuformis;(Campbell & Clark);0;1;0;0;3;0;1;0;0;0;0;0;0;3
Acanthocircus cf. minimus;(Squinabol);0;0;0;2;1;0;3;0;0;0;0;0;0;3
Acanthocircus moctezumaensis;Yang;0;0;0;0;0;0;0;0;0;0;2;0;0;0
Acanthocircus polymorphus;(Squinabol);5;8;0;0;13;0;4;2;0;1;4;2;0;4
Acanthocircus preclarus;(Foreman);0;0;0;1;0;0;0;0;0;0;0;0;0;1
Acanthocircus simplex;(Squinabol);0;2;0;0;0;0;0;0;0;0;0;0;0;0
Acastea bipes;Yang;0;1;0;1;0;0;0;0;0;0;0;0;0;1
Acastea diaphorogona;(Foreman);0;1;3;4;1;0;1;0;3;0;0;0;0;1
Acastea minispinea;Yang;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Angulobracchia biordinalis;Ozvoldova;0;0;1;0;1;0;0;0;0;0;0;0;0;0
Angulobracchia digitata;Baumgartner;2;0;0;0;0;0;1;0;0;0;0;0;0;1
Angulobracchia (?) portmanni;Baumgartner;0;0;1;0;0;2;0;0;0;0;0;0;0;0
Angulobracchia purisimaensis;(Pessagno);0;0;0;0;1;0;0;0;0;0;0;0;0;0
Archaecenosphaera gregaria;Rüst;0;2;0;0;0;0;0;0;0;2;0;0;2;0
Archaeocenosphaera cf. laseekensis;Pessagno & Yang;0;0;0;1;2;0;0;0;0;2;0;0;0;0
Archaeocenosphaera ruesti;Pessagno & Yang;0;0;0;0;0;0;0;2;0;0;0;0;1;0
Archaeospongoprunum sp. cf. bipartitum;Pessagno;0;0;0;0;1;4;3;6;0;0;0;0;0;2
Bivallupus primigenius;Yang & Pessagno;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Crucella magna;(Blome);1;2;4;1;1;2;2;0;1;0;1;0;0;7
Crucella mexicana;Yang;2;2;8;0;3;1;2;1;2;1;0;1;0;2
Crucella squama;(Kozlova);0;0;0;0;0;0;0;0;0;1;0;0;0;0
Crucella theokaftensis;Baumgartner;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Emiluvia chica;Foreman;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Emiluvia pessagnoi;Foreman;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Higumastra devilsgapensis;Pessagno, Blome & Hu;0;6;5;8;4;7;3;4;0;0;0;0;0;4
Higumastra imbricata;(Ozvoldova);0;1;0;0;0;0;0;0;0;0;0;0;0;0
Homoeoparonaella elegans;(Pessagno);0;0;0;0;1;0;2;0;0;0;0;0;0;0
Mesovallupus guadalupensis;Pessagno & MacLeod;0;0;0;0;0;0;0;0;0;0;0;0;0;4
Neoparonaella delicata;Yang;3;8;1;6;4;3;8;2;5;2;6;2;0;6
Neovallupus modestus;Yang & Pessagno;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Orbiculiforma cf. iniqua;Blome;3;0;0;0;1;26;0;0;0;0;0;0;0;0
Orbiculiforma (?) kanayamaensis;Mizutani;2;0;1;0;0;13;0;0;0;0;0;0;0;0
Orbiculiforma lowreyensis;Pessagno;0;0;0;0;0;3;1;0;0;0;0;0;0;0
Orbiculiforma mclaughlini group;Pessagno;4;0;0;5;2;10;6;0;0;0;0;0;0;1
Orbiculiforma cf. vacaensis;Pessagno;0;0;1;0;1;5;5;0;0;0;0;0;0;0
Pantanellium cantuchapai;Pessagno & MacLeod;4;0;0;12;15;0;3;5;4;10;0;0;0;9
Pantanellium deflectum;Yang;0;0;0;0;0;0;0;4;1;1;0;0;0;3
Pantanellium formosum;Yang;0;0;0;4;0;1;1;0;0;0;0;16;0;1
Pantanellium cf. heimi;Pessagno & MacLeod;1;4;0;0;2;0;1;0;0;2;0;0;0;4
Pantanellium meraceibaense;Pessagno & MacLeod;0;0;0;11;10;0;3;16;11;13;0;0;0;43
Pantanellium oligoporum;Vinassa de Regny;0;4;0;0;0;0;0;0;0;0;0;0;0;0
Pantanellium parvulum;Pessagno & MacLeod;0;0;0;1;0;0;0;0;0;1;0;0;0;1
Pantanellium quintachillaense;Pessagno & MacLeod;0;35;0;9;7;0;3;6;8;113;0;0;0;27
Pantanellium ranchitoense;Pessagno & MacLeod;0;7;0;1;5;0;0;0;0;19;0;4;0;1
Pantanellium riedeli;Pessagno;4;12;0;4;5;3;8;3;3;14;0;0;0;15
Pantanellium whalenae;Pessagno & MacLeod;5;1;0;8;1;1;2;5;1;1;0;1;0;1
Paronaella bandyi;Pessagno;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Paronaella denudata;(Rüst);0;0;0;0;0;0;1;0;1;0;0;0;0;3
Paronaella mulleri;Pessagno;1;0;0;0;0;0;0;0;0;0;1;0;0;0
Paronaella multifera;Yang;0;0;3;0;0;4;0;0;0;1;0;0;0;0
Paronaella obesa;(Pessagno);0;3;0;0;3;16;2;1;0;0;0;0;0;0
Paronaella cf. pessagnoi;Blome;2;0;0;0;2;0;4;4;0;0;0;0;0;3
Paronaella cf. pristidentata;Baumgartner;0;0;0;0;0;0;7;0;0;0;0;0;0;0
Paronaella cf. solanoensis;Pessagno;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Paronaella venusta;Blome;3;0;0;1;0;0;0;0;0;0;0;0;0;0
Parvivacca blomei;Pessagno & Yang;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Praeconocaryomma hexagona;(Rüst);0;1;1;1;0;0;0;0;0;0;0;0;0;0
Praeconocaryomma mammillaria;(Rüst);2;0;0;0;0;0;0;0;0;0;0;0;1;0
Praeconosphaera sphaeroconus;(Rüst);1;0;0;0;0;0;1;0;0;0;10;0;0;0
Protopsium posinos;De Wever;0;0;0;1;0;0;1;0;0;0;0;0;0;0
Protovallupus busuangaensis;Cheng;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Protovallupus excellens;Yang & Pessagno;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Protovallupus vaticinus;Pessagno & MacLeod;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Quinquecapsularia cf. megasphaerica;Dumitrica & Baumgart;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Spongotripus triacuminata;(Lipman);0;2;0;0;0;0;0;1;0;1;2;5;0;0
Staurosphaera antiqua;Rüst;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Suna cf. harperi;(Pessagno & Yang);0;0;0;0;0;0;0;0;0;0;0;0;0;2
Triactoma frequens;(Pessagno & Yang);0;0;0;0;0;1;0;0;0;0;0;0;0;0
Triactoma hidalgoensis;Pessagno & Yang;0;0;0;0;0;0;0;2;0;0;0;0;0;0
Triactoma mexicana;Pessagno & Yang;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Triactoma paramexicana;Pessagno & Yang;0;0;5;2;0;0;0;0;0;0;0;0;0;0
Triactoma spinosa;(Pessagno & Yang);1;0;0;0;0;0;0;0;0;0;3;0;0;0
Triactoma tithonianum;Rüst;0;0;0;0;1;0;0;0;0;0;0;1;0;0
Tritrabs ewingi minima;Steiger;0;1;0;0;0;0;5;0;0;0;0;0;0;0
Tritrabs rhododactylus;Baumgartner;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Vallupus hopsoni;Pessagno & Blome;1;0;0;0;4;0;0;4;0;1;0;0;0;19
Vallupus japonicus;Kawabata;0;0;0;0;0;0;0;0;0;5;0;0;0;0
Vallupus zeissi;Pessagno & MacLeod;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Archaeodictyomitra cf. annulata;Kozur & Mostler;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Archaeodictyomitra exigua;Blome;0;10;0;3;0;1;1;0;0;0;0;0;0;1
Archaeodictyomitra minoensis;(Mizutani);0;1;0;0;0;0;0;0;0;0;0;0;0;0
Archaeodictyomitra shengi;Yang;1;1;0;0;0;0;1;0;0;0;0;0;0;0
Archaeodictyomitra sixi;Yang;0;0;0;1;0;0;3;0;0;1;0;0;0;2
Caneta hsui;(Pessagno);11;40;22;14;5;5;8;3;0;0;0;0;0;5
Cyrtocapsa adrianae;(Jud);0;0;0;0;0;0;0;0;3;5;12;3;0;0
Cyrtocapsa molengraaffi;Tan Sin Hok;0;1;0;0;9;3;1;10;0;5;4;10;0;4
Cyrtocapsa cf. pseudacerra;Tan Sin Hok;0;0;0;2;0;1;3;0;0;1;0;3;0;3
Cyrtocapsa tripes;(Yang);0;0;0;0;0;0;0;0;0;0;0;2;0;1
Darvelus pessagnoi;Hull;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Darvelus primus;Hull;0;0;0;0;0;0;0;0;0;0;1;5;0;0
Hsuum cf. cuestaense;Pessagno;0;1;0;1;1;0;0;0;0;0;0;0;0;0
Hsuum feliformis;Jud;2;0;2;0;0;0;0;0;0;0;0;0;0;0
Hsuum mclaughlini;Pessagno & Blome;1;0;0;3;10;1;8;6;0;0;0;0;1;8
Hsuum tamanense;Yang;1;3;0;0;1;1;0;1;0;0;0;0;0;1
Lithocampe(?) sp. cf. P. cryptocephala;(Dumitrica);0;0;0;0;0;0;0;0;0;0;0;0;0;2
Loopus primitivus;(Matsuoka & Yao);1;0;0;0;2;0;24;1;1;0;0;0;0;1
Napora bukryi s.l.;Pessagno;2;2;0;0;0;0;0;0;0;0;0;0;0;0
Napora durhami;(Pessagno);0;0;0;0;3;0;1;0;0;5;0;0;0;0
Napora pulaensis;(Blome);10;0;0;3;11;0;4;1;0;1;5;4;1;28
Parvicingula blowi;Pessagno;0;0;0;0;2;0;4;0;0;0;0;0;0;3
Parvicingula bluefordae;Hull;0;0;0;0;0;2;0;0;0;0;0;0;0;0
Parvicingula boesii group;(Parona);0;0;0;0;0;0;0;0;0;0;4;1;2;0
Parvicingula colemani;Pessagno & Blome;39;3;2;0;33;5;12;6;0;9;8;1;0;33
Parvicingula deadhorsensis;(Pessagno, Blome &;15;0;7;0;0;0;2;0;0;5;0;0;0;1
Parvicingula cf. elegans;Pessagno & Whalen;12;0;0;0;7;0;13;4;0;1;0;0;2;25
Parvicingula excelsa;Pessagno & Blome;3;6;0;0;0;1;12;7;9;3;10;2;0;10
Parvicingula gracila;Hull;0;0;0;0;0;0;0;0;0;0;9;0;0;0
Parvicingula cf. grantensis;(Pessagno & Whalen);3;0;5;5;39;0;21;0;2;0;2;1;0;23
Parvicingula jonesi;Pessagno;27;3;4;0;0;1;0;5;0;0;1;0;1;3
Parvicingula satura;Hull;0;0;0;0;0;0;0;0;0;0;0;2;0;0
Parvicingula cf. thomesensis;Pessagno;3;0;0;0;1;0;0;2;0;2;0;0;0;1
Parvicingula turrita;(Rüst);1;0;0;0;10;0;6;13;0;0;0;1;1;10
Parvicingula yehae;Yang;0;5;35;0;0;0;1;0;0;0;0;0;0;1
Perispyridium ordinarium;(Pessagno);0;3;3;0;0;0;1;0;0;0;0;0;0;0
Podobursa pantanellii;Parona;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Podobursa triacantha polyacantha;(Fischli);0;0;0;0;0;0;0;2;0;0;0;0;0;0
Podocapsa amphitreptera s.l.;Foreman;0;0;0;0;2;1;0;0;0;0;0;0;0;3
Podocapsa amphitreptera foremanae;Yang;0;0;0;0;2;0;0;0;0;0;0;0;0;0
Praeparvicingula blomei;(Yang);13;0;1;7;0;6;1;0;0;0;0;0;0;15
Praeparvicingula communis;(Blome);0;2;0;2;0;0;2;0;0;0;0;0;0;2
Praeparvicingula discors;(Yang);3;6;0;2;0;0;1;0;0;1;3;0;1;0
Praeparvicingula erecta;(Tan Sin Hok);0;0;0;0;0;0;0;0;0;0;0;0;1;0
Praeparvicingula gemmata;Hull;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Praeparvicingula holdsworthi;(Yang);0;0;14;1;0;0;9;2;14;0;1;1;0;25
Praeparvicingula nebulosa;Hull;0;0;0;0;0;0;11;0;5;0;0;0;0;8
Praeparvicingula rotunda s.l.;Hull;4;4;9;9;26;0;25;26;6;6;0;0;1;28
Praeparvicingula vera;(Pessagno & Whalen);7;0;1;0;1;0;3;3;7;16;10;19;0;9
Protonuma japonica;Matsuoka & Yao;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Saitoum pagei;Pessagno;0;1;0;0;0;0;0;0;0;0;0;0;0;0
Sethocapsa zinckeni;(Rüst);0;1;0;0;2;0;0;1;0;1;0;0;0;3
Stichocapsa cf. singularis;Tan Sin Hok;0;0;0;0;0;0;0;0;0;0;2;1;0;0
Williriedellum frequens;(Tan Sin Hok);0;6;0;0;3;0;6;7;5;8;4;2;0;11
Williriedellum ruesti;(Tan Sin Hok);0;0;0;0;0;0;0;0;0;0;0;0;45;0
