collection_no,occurrences.class_name,occurrences.order_name,occurrences.family_name,occurrences.genus_reso,occurrences.genus_name,occurrences.species_reso,occurrences.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collections.country,collections.paleolatdec,collections.paleolngdec,collections.stage,collections.10mybin,collections.ma_max,collections.ma_min,collections.lithology1,collections.environment
1405,Bivalvia,Veneroida,Tancrediidae,,Tancredia,,magna,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Bivalvia,Veneroida,Arcticidae,,Arctica,,syssollae,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Bivalvia,Arcoida,,,Lopatinia,,callomoni,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Bivalvia,Pterioida,,,Praebuchia,,kirghisensis,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Bivalvia,Pectinoida,Pectinidae,,Camptonectes,,broenlundi,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Bivalvia,Arcoida,Parallelodontidae,,Grammatodon,,keyserlingii,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Bivalvia,Pterioida,Gryphaeidae,,Nanogyra,,nana,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Bivalvia,Mytiloida,Mytilidae,,Modiolus,,strajeskianus,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Bivalvia,Veneroida,Tancrediidae,,Corbicellopsis,,laevis,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Bivalvia,Pterioida,Bakevelliidae,,Aguilerella,,aldingeri,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Bivalvia,Pterioida,Pteriidae,,Meleagrinella,,ovalis,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Crinoidea,Sagenocrinida,,,Pentacrinites,,sp.,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1405,Cephalopoda,Ammonoidea,,,Amoeboceras,,sp.,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1406,Bivalvia,Arcoida,,,Lopatinia,,callomoni,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1406,Bivalvia,Pectinoida,Pectinidae,,Camptonectes,,broenlundi,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1406,Bivalvia,Pterioida,,,Praebuchia,,kirghisensis,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1406,Bivalvia,Veneroida,Arcticidae,,Arctica,,syssolae,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1406,,,,,Corbicellops,,laevis,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1406,Bivalvia,Pterioida,Bakevelliidae,,Aguilerella,,aldingeri,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1406,Bivalvia,Pterioida,Pteriidae,,Meleagrinella,,sp.,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1406,Bivalvia,Veneroida,Tancrediidae,,Tancredia,,magna,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1412,Bivalvia,Arcoida,,,Lopatinia,,callomoni,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1412,Bivalvia,Veneroida,Tancrediidae,,Tancredia,,magna,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1412,Bivalvia,Veneroida,Arcticidae,,Arctica,,syssollae,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1412,Bivalvia,Pectinoida,Pectinidae,,Camptonectes,,broenlundi,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,shoreface
1464,Bivalvia,Pectinoida,Pectinidae,,Camptonectes,,broenlundi,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Bivalvia,Pterioida,,,Praebuchia,,kirghisensis,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Bivalvia,Veneroida,Arcticidae,,Arctica,,syssollae,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Bivalvia,Veneroida,Lucinidae,,Lucina,,lirata,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Bivalvia,Veneroida,Mactromyidae,,Unicardium,,aceste,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Bivalvia,Mytiloida,Mytilidae,,Modiolus,,strajeskianus,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Bivalvia,Veneroida,Tancrediidae,,Tancredia,,magna,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Bivalvia,Veneroida,Tancrediidae,,Corbicellopsis,,lorioli,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Bivalvia,Veneroida,Tancrediidae,,Corbicellopsis,,laevis,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Bivalvia,Arcoida,,,Lopatinia,,callomoni,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Bivalvia,Veneroida,Cardiidae,,Protocardia,,striatula,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Polychaeta,Sedentarida,Serpulidae,,Serpula,,sp.,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,Cephalopoda,Ammonoidea,,,Amoeboceras,,sp.,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1464,,,,,Talpina,,sp.,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1465,Bivalvia,Pectinoida,Pectinidae,,Camptonectes,,broenlundi,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1465,Bivalvia,Mytiloida,Mytilidae,,Modiolus,,strajeskianus,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
1465,Bivalvia,Veneroida,Arcticidae,,Arctica,,syssollae,,,,,Greenland,54.99,11.29,Oxfordian,"Jurassic 5",161.200,155.700,sandstone,"transition zone/lower shoreface"
