.	Bin	Ext	Ori	Ori1	Ext1	
1	3	0.9651	1.4759	.	.	
2	4	1.5077	1.0658	-0.4101	0.5426	
3	5	0.7621	1.6829	0.6171	-0.7456	
4	6	0.5685	0.9225	-0.7604	-0.1936	
5	7	0.4812	0.5618	-0.3607	-0.0873	
6	8	0.2753	0.5406	-0.0212	-0.2059	
7	9	0.6779	0.3102	-0.2304	0.4026	
8	10	0.293	0.5663	0.2561	-0.3849	
9	11	0.4652	0.3847	-0.1816	0.1722	
10	12	0.3035	0.438	0.0533	-0.1617	
11	13	0.3862	0.356	-0.082	0.0827	
12	14	0.4185	0.2036	-0.1524	0.0323	
13	15	0.2513	0.1102	-0.0934	-0.1672	
14	16	0.2299	0.2532	0.143	-0.0214	
15	17	0.1876	0.4212	0.168	-0.0423	
16	18	0.2435	0.2278	-0.1934	0.0559	
17	19	0.1887	0.1727	-0.0551	-0.0548	
18	20	0.1108	0.1833	0.0106	-0.0779	
19	21	0.0916	0.104	-0.0793	-0.0192	
20	22	0.1262	0.2136	0.1096	0.0346	
21	23	0.1433	0.2047	-0.0089	0.0171	
22	24	0.3297	0.1709	-0.0338	0.1864	
23	25	0.8582	0.1872	0.0163	0.5285	
24	26	0.2293	0.2861	0.0989	-0.6289	
25	27	0.1981	0.5897	0.3036	-0.0312	
26	28	0.3421	0.3788	-0.2109	0.144	
27	29	0.4803	0.2556	-0.1232	0.1382	
28	30	0.0741	0.3599	0.1043	-0.4062	
29	31	0.1295	0.1435	-0.2164	0.0554	
30	32	0.1403	0.0889	-0.0546	0.0108	
31	33	0.0921	0.3538	0.2649	-0.0482	
32	34	0.1693	0.2091	-0.1447	0.0772	
33	35	0.157	0.1307	-0.0784	-0.0123	
34	36	0.1828	0.2285	0.0978	0.0258	
35	37	0.1269	0.2164	-0.0121	-0.0559	
36	38	0.2164	0.2394	0.023	0.0895	
37	39	0.174	0.2131	-0.0263	-0.0424	
38	40	0.11	0.1806	-0.0325	-0.064	
39	41	0.195	0.1813	0.0007	0.085	
40	42	0.2043	0.2163	0.035	0.0093	
41	43	0.367	0.0827	-0.1336	0.1627	
42	44	0.2513	0.4884	0.4057	-0.1157	
43	45	0.1628	0.2712	-0.2172	-0.0885	
44	46	0.2199	0.1604	-0.1108	0.0571	
45	47	0.1745	0.1521	-0.0083	-0.0454	
46	48	0.3788	0.1789	0.0268	0.2043	
47	.	.	.	.	.	
48	.	.	.	.	.	
49	.	.	.	.	.	
50	.	.	.	.	.	
51	.	.	.	.	.	
52	.	.	.	.	.	
53	.	.	.	.	.	
54	.	.	.	.	.	
55	.	.	.	.	.	
56	.	.	.	.	.	
57	.	.	.	.	.	
58	.	.	.	.	.	
59	.	.	.	.	.	
60	.	.	.	.	.	
61	.	.	.	.	.	
62	.	.	.	.	.	
63	.	.	.	.	.	
64	.	.	.	.	.	
65	.	.	.	.	.	
66	.	.	.	.	.	
67	.	.	.	.	.	
68	.	.	.	.	.	
69	.	.	.	.	.	
70	.	.	.	.	.	
71	.	.	.	.	.	
72	.	.	.	.	.	
73	.	.	.	.	.	
74	.	.	.	.	.	
75	.	.	.	.	.	
76	.	.	.	.	.	
77	.	.	.	.	.	
78	.	.	.	.	.	
79	.	.	.	.	.	
80	.	.	.	.	.	
81	.	.	.	.	.	
82	.	.	.	.	.	
83	.	.	.	.	.	
84	.	.	.	.	.	
85	.	.	.	.	.	
86	.	.	.	.	.	
87	.	.	.	.	.	
88	.	.	.	.	.	
89	.	.	.	.	.	
90	.	.	.	.	.	
91	.	.	.	.	.	
92	.	.	.	.	.	
93	.	.	.	.	.	
94	.	.	.	.	.	
95	.	.	.	.	.	
96	.	.	.	.	.	
97	.	.	.	.	.	
98	.	.	.	.	.	
99	.	.	E	.	.	
