SLICE	TRANS_AGE	CORAL_VOL	SPONG_VOL	ALGAL_VOL	MICRO_VOL	BIVAL_VOL	BRYOZ_VOL
1	520	0.00	6.79	0.00	15.21	0.00	0.00
2	502	0.00	0.00	0.00	12.69	0.00	0.00
3	488	0.01	0.00	0.00	62.17	0.00	0.00
4	472	0.00	0.00	0.00	47.68	0.00	0.00
5	452	1.99	2.97	19.82	44.54	0.00	30.80
6	435	26.88	72.58	0.00	8.23	0.00	10.23
7	425	64.18	58.40	0.82	24.85	0.00	2.55
8	412	2.98	16.41	0.24	56.73	0.00	2.74
9	395	45.03	43.12	16.80	52.07	0.00	0.13
10	375	171.70	399.07	29.13	137.05	0.00	0.01
11	351	3.24	2.57	1.11	85.95	0.00	35.63
12	329	3.56	19.09	50.50	26.20	0.00	14.21
13	306	0.81	0.73	56.83	6.72	0.00	22.46
14	295	0.04	0.01	30.00	9.63	0.00	2.68
15	277	2.01	10.31	38.81	22.12	0.00	18.87
16	265	5.37	104.99	11.91	46.16	0.00	11.99
17	235	7.75	52.32	7.20	39.55	0.01	0.01
18	215	71.15	71.87	10.31	7.35	0.00	0.00
19	187	11.41	3.17	0.34	0.02	7.84	0.00
20	168	13.96	0.00	0.11	0.01	0.00	0.00
21	153	149.66	29.51	26.88	4.23	0.10	0.02
22	142	38.85	12.58	10.83	7.00	0.02	0.00
23	126	26.78	0.27	4.06	0.19	47.52	0.00
24	105	35.94	5.35	13.80	0.62	66.25	0.00
25	90	3.65	0.00	0.21	0.00	38.49	0.00
26	76	6.92	0.00	3.14	0.00	4.23	0.10
27	53	10.14	0.00	21.54	0.00	0.02	0.14
28	45	8.97	0.00	6.51	0.11	0.00	0.28
29	33	30.43	0.00	24.66	0.00	0.00	1.80
30	22	124.01	0.00	109.79	0.00	0.06	1.60
31	14	263.94	0.01	150.14	0.02	0.00	2.59
32	6	227.86	0.00	78.84	0.64	0.06	1.74
