STAGE;SLICE;MEAN_AGE;LOW;HIGH;BIN;use.bin;use.subep;LOW.PARED;HIGH.PARED
Nemakit-Daldynian;1;536.5;542;530;1;y;n;542;531
Tommotian;2;527;530;520;2;n;n;531;523
Atdabanian-Botomian;3;518;520;513;2;n;n;523;513
Toyonian-Middle Cambrian;4;507;513;501;3;n;n;513;501
Upper Cambrian;5;494.65;501;490;4;y;n;501;488.3
Tremadocian;6;483.45;490;479;5;y;n;488.3;478.6
Floian;7;475.2;479;466;6;y;n;478.6;471.8
Dapingian-Darriwilian;8;466.35;466;460.5;7;y;n;471.8;460.9
Caradoc;9;454.95;460.9;449;8;y;n;460.9;449
Ashgill;10;446.35;449;443.7;9;y;n;449;443.7
Rhuddanian-Aeronian;11;439.85;443.7;436;10;n;n;443.7;436
Telychian;12;432.1;436;428.2;10;n;n;436;428.2
Wenlockian;13;425.55;428.2;422.9;11;n;n;428.2;422.9
Ludlovian-Pridolian;14;419.45;422.9;418.1;11;n;n;422.9;416
Lochkovian;15;413.6;418.1;412.3;12;n;n;416;411.2
Pragian;16;409.1;412.3;409.1;12;n;n;411.2;407
Emsian;17;402.25;409.1;391.9;13;y;n;407;397.5
Eifelian;18;394.65;391.9;388.1;14;n;n;397.5;391.8
Givetian;19;388.55;388.1;383.7;14;n;n;391.8;385.3
Frasnian;20;379.9;383.7;376.1;15;y;n;385.3;374.5
Famennian;21;367.6;376.1;360.7;16;y;n;374.5;360.7
Tournaisian;22;353;360.7;345.3;17;y;n;360.7;345.3
Chadian-Asbian;23;338.65;345.3;336;18;y;n;345.3;332
Brigantian-Serpukhovian;24;325.05;336;318.1;19;y;n;332;318.1
Bashkirian;25;314.9;318.1;312;20;n;n;318.1;311.7
Moscovian;26;309.1;312;305;20;n;n;311.7;306.5
Kasimovian-Gzhelian;27;302.75;305;299;21;y;n;306.5;299
Asselian;28;296.8;299;290;22;n;n;299;294.6
Sakmarian;29;289.5;290;284;22;n;n;294.6;284.4
Artinskian;30;280;284;279.5;23;n;n;284.4;275.6
Kungurian;31;273.1;279.5;272.5;23;n;n;275.6;270.6
Roadian-Wordian;32;268.2;272.5;265;24;n;n;270.6;265.8
Capitanian;33;263.1;265;260.5;24;n;n;265.8;260.4
Wuchiapingian;34;257.1;260.5;255;25;n;n;260.4;253.8
Changhsingian;35;252.4;255;251;25;n;n;253.8;251
Induan;36;250.35;251;249.7;26;n;n;251;249.7
Olenekian;37;247.35;249.7;245;26;n;n;249.7;245
Anisian;38;241;245;237;27;n;n;245;237
Ladinian;39;232.5;237;228;27;n;n;237;228
Carnian;40;222.25;228;216.5;28;y;n;228;216.5
Norian;41;210.05;216.5;203.6;29;n;n;216.5;203.6
Rhaetian;42;201.6;203.6;199.6;29;n;n;203.6;199.6
Hettangian;43;198.05;199.6;196.5;30;n;n;199.6;196.5
Sinemurian;44;193.05;196.5;189.6;30;n;;196.5;189.6
Pliensbachian;45;186.3;189.6;183;31;y;n;189.6;183
Toarcian;46;179.3;183;175.6;32;n;n;183;175.6
Aalenian;47;173.6;175.6;171.6;32;n;n;175.6;171.6
Bajocian;48;169.65;171.6;167.7;33;n;n;171.6;167.7
Bathonian;49;166.2;167.7;164.7;33;n;n;167.7;164.7
Callovian;50;162.95;164.7;161.2;34;n;n;164.7;161.2
Oxfordian;51;158.45;161.2;155.7;34;n;n;161.2;155.7
Kimmeridgian;52;153.25;155.7;150.8;34;n;n;155.7;150.8
Tithonian;53;148.15;150.8;145.5;35;y;n;150.8;145.5
Berriasian;54;142.85;145.5;140.2;36;n;n;145.5;140.2
Valanginian;55;138.3;140.2;136.4;36;n;n;140.2;136.4
Hauterivian;56;133.2;136.4;130;37;n;n;136.4;130
Barremian;57;127.5;130;125;37;n;n;130;125
Aptian;58;118.5;125;112;38;y;n;125;112
Albian;59;105.8;112;99.6;39;y;n;112;99.6
Cenomanian;60;96.55;99.6;93.5;40;y;n;99.6;93.5
Turonian;61;91.4;93.5;89.3;41;n;n;93.5;89.3
Coniacian-Santonian;62;86.4;89.3;83.5;41;n;n;89.3;83.5
Campanian;63;77.05;83.5;70.6;42;y;n;83.5;70.6
Maastrichtian;64;68.05;70.6;65.5;43;y;n;70.6;65.5
Danian;65;63.6;65.5;61.7;44;n;n;65.5;61.7
Selandian-Thanetian;66;58.75;61.7;55.8;44;n;n;61.7;55.8
Ypresian;67;52.2;55.8;48.6;45;n;y;55.8;48.6
Lutetian;68;44.5;48.6;40.4;45;n;n;48.6;40.4
Bartonian;69;38.8;40.4;37.2;46;n;n;40.4;37.2
Priabonian;70;35.55;37.2;33.9;46;n;y;37.2;33.9
Rupelian;71;31.15;33.9;28.4;47;n;y;33.9;28.4
Chattian;72;25.7;28.4;23.03;47;n;y;28.4;23
Lower Miocene;73;19.5;23.03;15.97;48;n;y;23;16
Middle Miocene;74;13.8;15.97;11.61;48;n;y;16;11.6
Upper Miocene;75;8.45;11.61;5.33;49;n;y;11.6;5.3
Pliocene;76;3.55;5.33;1.81;49;n;n;5.3;1.8
Pleistocene;77;0.905;1.81;0.011;49;n;n;1.8;0.01
