.	TIME	EXT	DIV	ORI	O/D	E/D	O/DT	E/DT	POR	
PRE	-2055	0	12	12	1	0	0.0003	0	1	
V	-590	1	16	4	0.25	0.0625	0.0063	0.0016	0.8	
CRF	-553	170	245	230	0.9388	0.6939	0.0276	0.0204	0.575	
STD	-526.6	52	143	68	0.4755	0.3636	0.0253	0.0193	0.567	
MER	-513.6	59	161	70	0.4348	0.3665	0.0604	0.0509	0.543	
TRE	-501.5	25	164	62	0.378	0.1524	0.0222	0.009	0.713	
ARG	-484.5	34	281	142	0.5053	0.121	0.0299	0.0072	0.807	
LLN	-472.4	35	321	74	0.2305	0.109	0.0307	0.0145	0.679	
LLO	-466.2	17	343	57	0.1662	0.0496	0.0354	0.0105	0.77	
CRD	-453.5	55	434	108	0.2488	0.1267	0.012	0.0061	0.663	
ASH	-441	99	433	54	0.1247	0.2286	0.0304	0.0558	0.353	
LLY	-434.7	29	400	66	0.165	0.0725	0.0192	0.0084	0.695	
WEN	-427.2	40	434	63	0.1452	0.0922	0.0227	0.0144	0.612	
LUD	-417.4	41	441	47	0.1066	0.093	0.008	0.007	0.534	
PRD	-409.6	27	433	33	0.0762	0.0624	0.0346	0.0283	0.55	
LOK	-402.4	48	450	44	0.0978	0.1067	0.008	0.0087	0.478	
PRA	-393.3	40	474	72	0.1519	0.0844	0.0257	0.0143	0.643	
EMS	-388.2	47	501	67	0.1337	0.0938	0.0304	0.0213	0.588	
EIF	-383.4	53	496	42	0.0847	0.1069	0.0163	0.0205	0.442	
GIV	-379.1	71	504	61	0.121	0.1409	0.0356	0.0414	0.462	
FRS	-372.2	85	483	50	0.1035	0.176	0.01	0.0169	0.37	
FAM	-364.8	94	484	86	0.1777	0.1942	0.0395	0.0432	0.478	
TOU	-356	52	469	79	0.1684	0.1109	0.013	0.0085	0.603	
VIS	-341.2	47	510	93	0.1824	0.0922	0.011	0.0056	0.664	
SPK	-327.8	47	507	44	0.0868	0.0927	0.0086	0.0092	0.484	
BSH	-317	36	534	74	0.1386	0.0674	0.0121	0.0059	0.673	
MOS	-307.1	79	596	98	0.1644	0.1326	0.0198	0.016	0.554	
KAS	-299	35	529	12	0.0227	0.0662	0.0029	0.0084	0.255	
GZE	-292.5	13	530	36	0.0679	0.0245	0.0133	0.0048	0.735	
ASS	-285.8	54	536	19	0.0354	0.1007	0.0042	0.0119	0.26	
SAK	-275.1	21	499	17	0.0341	0.0421	0.0027	0.0033	0.447	
ART	-264.2	56	501	23	0.0459	0.1118	0.005	0.0123	0.291	
KUN	-257.9	25	482	37	0.0768	0.0519	0.0213	0.0144	0.597	
UFI	-255.6	73	467	10	0.0214	0.1563	0.0195	0.1421	0.12	
KAZ	-252.5	100	448	54	0.1205	0.2232	0.0241	0.0446	0.351	
TAT	-247.5	110	411	63	0.1533	0.2676	0.0307	0.0535	0.364	
SCY	-243.1	54	386	85	0.2202	0.1399	0.0565	0.0359	0.612	
ANS	-240.3	25	381	49	0.1286	0.0656	0.0804	0.041	0.662	
LAD	-237.2	23	410	54	0.1317	0.0561	0.0293	0.0125	0.701	
CRN	-229.2	49	450	63	0.14	0.1089	0.0121	0.0094	0.562	
NOR	-216.4	40	440	39	0.0886	0.0909	0.0064	0.0065	0.494	
RHT	-208.8	50	504	104	0.2063	0.0992	0.1376	0.0661	0.675	
HET	-205.8	21	483	29	0.06	0.0435	0.0133	0.0097	0.58	
SIN	-199	51	510	48	0.0941	0.1	0.0105	0.0111	0.485	
PLB	-190.8	22	505	46	0.0911	0.0436	0.0121	0.0058	0.676	
TOA	-182.5	21	594	111	0.1869	0.0354	0.0208	0.0039	0.841	
