;gens;d.max;n.max;range;n.tot;occurrences.class_name;occurrences.order_name;Ma.old;Bin.old;genus_name
1;Anthozoa Acanthastrea;18311;17;3;30;Anthozoa;Scleractinia;28.4;47;Acanthastrea
2;Anthozoa Acanthocyathus;16185;9;2;13;Anthozoa;Scleractinia;20.43;48;Acanthocyathus
3;Anthozoa Acanthogyra;12006;9;6;13;Anthozoa;Scleractinia;164.7;34;Acanthogyra
4;Anthozoa Acanthohalysites;14236;5;2;6;Anthozoa;Heliolitida;443.7;10;Acanthohalysites
5;Anthozoa Acanthophyllum;18521;58;3;78;Anthozoa;Stauriida;418.1;12;Acanthophyllum
6;Anthozoa Acdalopora;3690;5;2;6;Anthozoa;Heliolitida;460.5;8;Acdalopora
7;Anthozoa Acervularia;2536;26;1;26;Anthozoa;Stauriida;428.2;11;Acervularia
8;Anthozoa Acidolites;3600;6;3;13;Anthozoa;Heliolitida;460.5;8;Acidolites
9;Anthozoa Acinophyllum;5495;14;3;20;Anthozoa;Stauriida;409.1;13;Acinophyllum
10;Anthozoa Acmophyllum;421;2;1;2;Anthozoa;Stauriida;418.7;11;Acmophyllum
11;Anthozoa Acrocyathus;428;3;1;3;Anthozoa;Stauriida;345;18;Acrocyathus
12;Anthozoa Acrophyllum;29;3;2;4;Anthozoa;Stauriida;409.1;13;Acrophyllum
13;Anthozoa Acropora;19424;202;6;269;Anthozoa;Scleractinia;58.7;44;Acropora
14;Anthozoa Acrosmilia;5814;7;14;24;Anthozoa;Scleractinia;167.7;33;Acrosmilia
15;Anthozoa Actinacis;13076;36;11;90;Anthozoa;Scleractinia;130;37;Actinacis
16;Anthozoa Actinaraea;7059;48;11;74;Anthozoa;Scleractinia;190.7;31;Actinaraea
17;Anthozoa Actinaraeopsis;2430;6;5;11;Anthozoa;Scleractinia;161.2;34;Actinaraeopsis
18;Anthozoa Actinastrea;13078;39;20;148;Anthozoa;Scleractinia;199.6;30;Actinastrea
19;Anthozoa Actinhelia;7599;10;1;10;Anthozoa;Scleractinia;70.6;43;Actinhelia
20;Anthozoa Actinocyathus;1503;4;1;4;Anthozoa;Stauriida;336;19;Actinocyathus
21;Anthozoa Actinophrentis;184;5;3;9;Anthozoa;Stauriida;305;21;Actinophrentis
22;Anthozoa Adaverina;518;2;1;2;Anthozoa;Auloporida;428.2;11;Adaverina
23;Anthozoa Adelocoenia;10259;7;8;20;Anthozoa;Scleractinia;167.7;33;Adelocoenia
24;Anthozoa Agaricia;13310;135;3;145;Anthozoa;Scleractinia;28.4;47;Agaricia
25;Anthozoa Agastophyllum;486;3;1;3;Anthozoa;NA;391.9;14;Agastophyllum
26;Anthozoa Agathelia;166;3;12;11;Anthozoa;Scleractinia;145.5;36;Agathelia
27;Anthozoa Agathiphyllia;18779;22;10;33;Anthozoa;Scleractinia;65.5;44;Agathiphyllia
28;Anthozoa Agetolitella;6510;6;1;6;Anthozoa;Favositida;449.5;9;Agetolitella
29;Anthozoa Agetolites;15001;23;2;25;Anthozoa;Favositida;460.5;8;Agetolites
30;Anthozoa Aggomorphastraea;0;1;2;2;Anthozoa;Scleractinia;167.7;33;Aggomorphastraea
31;Anthozoa Akagophyllum;0;2;1;2;Anthozoa;Stauriida;305;21;Akagophyllum
32;Anthozoa Aknisophyllum;38;3;1;3;Anthozoa;Stauriida;418.1;12;Aknisophyllum
33;Anthozoa Alaiophyllum;9624;3;2;5;Anthozoa;Stauriida;383.7;15;Alaiophyllum
34;Anthozoa Alakiria;8016;2;2;3;Anthozoa;Scleractinia;216.5;29;Alakiria
35;Anthozoa Allocoenia;8448;14;3;16;Anthozoa;Scleractinia;167.7;33;Allocoenia
36;Anthozoa Allocoeniopsis;7627;6;4;11;Anthozoa;Scleractinia;199.6;30;Allocoeniopsis
37;Anthozoa Alloiteausmilia;6934;2;1;2;Anthozoa;Scleractinia;189.6;31;Alloiteausmilia
38;Anthozoa Allotropiochisma;2;3;2;4;Anthozoa;Stauriida;302;21;Allotropiochisma
39;Anthozoa Allotropiophyllum;114;8;8;15;Anthozoa;Stauriida;360.7;17;Allotropiophyllum
40;Anthozoa Alpinophyllia;8004;5;1;5;Anthozoa;Scleractinia;216.5;29;Alpinophyllia
41;Anthozoa Alpinoseris;393;2;1;2;Anthozoa;Scleractinia;216.5;29;Alpinoseris
42;Anthozoa Altaiophyllum;10977;4;1;4;Anthozoa;Stauriida;391.9;14;Altaiophyllum
43;Anthozoa Altaja;12230;7;1;7;Anthozoa;Stauriida;428.2;11;Altaja
44;Anthozoa Alveolitella;17960;30;4;38;Anthozoa;Favositida;418.1;12;Alveolitella
45;Anthozoa Alveolites;19502;161;6;279;Anthozoa;Favositida;443.7;10;Alveolites
46;Anthozoa Alveolocyathus;0;2;1;2;Anthozoa;Scleractinia;70.6;43;Alveolocyathus
